Baisley Park,Queens,29.36045577913083
Flushing Meadows-Corona Park,Queens,27.304845733617675
South Jamaica,Queens,26.294916239873473
Randalls Island,Manhattan,24.150989940227518
Astoria Park,Queens,21.706417112147516
Briarwood/Jamaica Hills,Queens,19.945064631789336
Springfield Gardens South,Queens,19.468309288781914
Jamaica,Queens,19.283943000137896
Corona,Queens,18.228769248155974
LaGuardia Airport,Queens,18.181338808373003
Jamaica Bay,Queens,17.100529446757896
Maspeth,Queens,17.00545064007954
Eltingville/Annadale/Prince's Bay,Staten Island,16.837764756944445
JFK Airport,Queens,16.777725348249643
Battery Park,Manhattan,12.849780311142876
Morningside Heights,Manhattan,12.45369802658408
Battery Park City,Manhattan,12.448848404428603
Greenwich Village North,Manhattan,12.446949891694036
Rikers Island,Bronx,12.3063
World Trade Center,Manhattan,12.29541192413338
