node_id	pr_value
663930	0.00017047219979609996
482708	9.465075401188225e-05
1034017	5.4499157957625496e-05
663559	4.9239262763313875e-05
357530	4.535157617940657e-05
1120567	4.429229111656402e-05
663605	4.3859940801595646e-05
663682	3.727381793058822e-05
1108860	3.5470001550757316e-05
664788	3.4559758324373916e-05
